=== A1_数量表 ===
Full SKU,总销量,总取消数,总退货数(无平台介入),总退货数(平台介入),总退货数(平台强制退款),强制退货(仅退款),净销售
5450H641E15.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
5450H641E25.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5450H671B20.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5450H671B20.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,7.0,1.0,0.0,0.0,0,0,6.0
5450H671B32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5475-5450B25.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5475-5475B32.4+NU1P1E22Z.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5475/5500-5500H32.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
5500/5550-5450B32.4+NU1P1E22Z.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
5500/5550-5450B32.4+NU1P1K22K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,0.0,0.0,0,0,4.0
5500/5550-5475B32.4+NU1P1E22Z.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
6135-6550H871E38.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
6135/6550-6550E32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
6135H871E25.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
6135H871E25.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
6450/6500-6550B32.4+NU1P1A22Z.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
6450/6500-6550B32.4+NU1P1H22Z.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,8.0,0.0,4.0,0.0,0,0,6.8
6550-6135H781E38.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,1.0,0.0,0,0,1.7
6550-6550B32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,0.0,0.0,0,0,4.0
6550-6550B32.4+NU1P1A22Z.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
6550-6550B38.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
6550-6550B38.4+NU1P1A22Z.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
6550-6550B51.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
6550-6550E32.2+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
6550-6550E38.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,0.0,0.0,0,0,4.0
6550-6550E51.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,1.0,0.0,0.0,0,0,3.0
6550H106B25.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
6550H106B38.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,11.0,0.0,0.0,0.0,0,0,11.0
6550H781E25.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
6550H781E32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
6550H951E32.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
8170-8180E51.4+NU1P1F22Z.32+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
8170-8650E51.4+NU1P1F22Z.32+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
8180-8170E51.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
8180-8650E51.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
8650-8170E51.4+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
BE2B4E28K.16+BE2B9E28K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,1.0,0.0,0,0,2.7
BE2B4E28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,27.0,0.0,1.0,0.0,0,0,26.7
BE2B4E40K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
BE2B4E45K.16+BE2B9E45K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
BE2B4E45K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
BE2B4E50K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
BE2B4E55K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,6.0,0.0,0.0,0.0,0,0,6.0
BE2B4E55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
BE2B4E55K.5+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
